City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Dikson,73.5069,80.5464,-19.65,83,96,5.93,RU,2021-12-22 19:12:34
146,Iberia,29.9502,-91.7507,18.36,43,0,1.43,US,2021-12-22 19:10:48
147,Harnai,30.1005,67.9374,11.92,23,54,0.68,PK,2021-12-22 19:12:34
148,Faya,18.3851,42.4509,12.93,88,10,2.01,SA,2021-12-22 19:09:37
149,Sao Filipe,14.8961,-24.4956,24.32,70,0,4.68,CV,2021-12-22 19:12:35
150,Qaanaaq,77.484,-69.3632,-3.61,61,14,4.79,GL,2021-12-22 19:10:34
151,Arraial Do Cabo,-22.9661,-42.0278,25.09,87,5,5.13,BR,2021-12-22 19:12:36
152,Thabazimbi,-24.5917,27.4116,23.05,60,100,2.39,ZA,2021-12-22 19:12:36
153,Ust-Kulom,61.6864,53.6902,-20.98,99,91,1.98,RU,2021-12-22 19:12:37
154,Bredasdorp,-34.5322,20.0403,19.04,82,88,5.02,ZA,2021-12-22 19:08:18
155,Waipawa,-41.4122,175.5153,18.85,73,98,6.39,NZ,2021-12-22 19:12:39
156,Saint-Pierre,-21.3393,55.4781,24.82,85,0,2.06,RE,2021-12-22 19:12:40
157,Sisimiut,66.9395,-53.6735,-1.28,70,65,4.6,GL,2021-12-22 19:12:41
158,Amapa,1.0,-52.0,26.07,93,100,2.26,BR,2021-12-22 19:12:41
159,Acari,-15.4311,-74.6158,27.03,47,87,5.0,PE,2021-12-22 19:12:41
160,Cootamundra,-34.65,148.0333,16.64,85,0,4.32,AU,2021-12-22 19:12:42
161,Arkhangelsk,64.5401,40.5433,-11.94,92,75,1.0,RU,2021-12-22 19:12:42
162,Bilibino,68.0546,166.4372,-35.18,99,100,0.73,RU,2021-12-22 19:12:42
163,Cockburn Town,21.4612,-71.1419,26.0,77,54,4.43,TC,2021-12-22 19:09:58
164,Alofi,-19.0595,-169.9187,26.39,73,27,7.83,NU,2021-12-22 19:12:43
165,Lakatoro,-16.0999,167.4164,27.5,79,53,2.76,VU,2021-12-22 19:12:43
166,Maceio,-9.6658,-35.7353,27.88,75,100,7.65,BR,2021-12-22 19:12:43
167,Buffalo,42.8865,-78.8784,-0.03,65,97,8.62,US,2021-12-22 19:10:25
168,Linxia,35.6003,103.2064,-2.6,33,82,1.04,CN,2021-12-22 19:12:44
169,Vilhena,-12.7406,-60.1458,23.57,93,100,2.21,BR,2021-12-22 19:12:44
170,Faanui,-16.4833,-151.75,26.99,77,51,7.26,PF,2021-12-22 19:12:09
171,Samarai,-10.6167,150.6667,27.34,78,100,0.97,PG,2021-12-22 19:12:45
172,Fort Nelson,58.8053,-122.7002,-18.01,97,100,0.65,CA,2021-12-22 19:12:02
173,Basse-Pointe,14.8695,-61.115,29.03,32,100,7.66,MQ,2021-12-22 19:12:45
174,Kimberley,-28.7323,24.7623,16.88,80,100,7.92,ZA,2021-12-22 19:12:46
175,Kodiak,57.79,-152.4072,1.96,69,86,2.24,US,2021-12-22 19:11:02
176,Nhulunbuy,-12.2333,136.7667,27.34,74,40,0.0,AU,2021-12-22 19:12:46
177,Makat,47.6469,53.3463,0.06,56,100,9.36,KZ,2021-12-22 19:12:46
178,Broome,42.2506,-75.833,1.54,62,90,3.58,US,2021-12-22 19:12:47
179,Kashi,39.4547,75.9797,-3.15,47,80,0.28,CN,2021-12-22 19:12:47
180,Valkeala,60.9401,26.7979,-12.78,85,75,2.57,FI,2021-12-22 19:12:47
181,Grindavik,63.8424,-22.4338,1.26,80,75,5.14,IS,2021-12-22 19:13:48
182,Provideniya,64.3833,-173.3,-17.62,97,100,10.79,RU,2021-12-22 19:08:53
183,Muros,42.7762,-9.0603,16.28,78,100,10.29,ES,2021-12-22 19:13:48
184,Chulman,56.8479,124.9104,-43.68,99,100,1.82,RU,2021-12-22 19:13:49
185,Laguna,38.421,-121.4238,12.28,93,90,0.45,US,2021-12-22 19:13:49
186,Hasaki,35.7333,140.8333,1.22,49,100,5.92,JP,2021-12-22 19:13:49
187,Zhigalovo,54.8097,105.1578,-37.62,100,41,0.62,RU,2021-12-22 19:13:49
188,Ahuimanu,21.4447,-157.8378,22.89,74,95,2.68,US,2021-12-22 19:13:50
189,San Patricio,28.017,-97.5169,25.57,45,79,4.19,US,2021-12-22 19:13:50
190,Koroni,36.8,21.95,12.26,64,79,2.89,GR,2021-12-22 19:13:51
191,Shahrud,36.4182,54.9763,2.93,59,0,0.68,IR,2021-12-22 19:13:51
192,Coquimbo,-29.9533,-71.3436,19.55,71,22,3.48,CL,2021-12-22 19:13:52
193,Hobyo,5.3505,48.5268,26.12,79,100,5.7,SO,2021-12-22 19:13:52
194,Port Elizabeth,-33.918,25.5701,19.5,88,53,4.8,ZA,2021-12-22 19:13:52
195,Mumbwa,-14.9783,27.0619,18.5,95,100,2.03,ZM,2021-12-22 19:13:53
196,Muncar,-8.4333,114.3333,24.93,87,81,1.2,ID,2021-12-22 19:13:53
197,Singkang,2.1006,102.7994,23.58,96,98,1.17,MY,2021-12-22 19:13:54
198,Ponta Delgada,37.7333,-25.6667,16.4,63,20,11.32,PT,2021-12-22 19:13:54
199,Lavrentiya,65.5833,-171.0,-19.06,91,100,7.91,RU,2021-12-22 19:13:54
200,Nizhnyaya Tavda,57.6731,66.1725,-8.62,94,100,5.01,RU,2021-12-22 19:13:55
201,De Aar,-30.6497,24.0123,20.43,56,62,0.85,ZA,2021-12-22 19:13:55
202,Sheltozero,61.3667,35.3667,-8.63,87,100,6.42,RU,2021-12-22 19:13:56
203,Dunedin,-45.8742,170.5036,12.26,76,7,4.49,NZ,2021-12-22 19:10:29
204,Palmerston,-12.486,130.9833,27.99,94,75,1.03,AU,2021-12-22 19:13:56
205,Mazatan,14.8667,-92.45,29.06,64,0,2.77,MX,2021-12-22 19:13:56
206,Leningradskiy,69.3833,178.4167,-26.82,99,100,2.88,RU,2021-12-22 19:13:57
207,Kudahuvadhoo,2.6708,72.8944,27.89,74,81,4.91,MV,2021-12-22 19:13:57
208,Kyshtovka,56.555,76.6271,-3.65,89,100,7.95,RU,2021-12-22 19:13:57
209,Exeter,50.7236,-3.5275,9.88,91,100,4.62,GB,2021-12-22 19:13:58
210,Walvis Bay,-22.9575,14.5053,18.38,81,0,4.15,NA,2021-12-22 19:13:58
211,Kaohsiung,22.6163,120.3133,20.58,87,80,0.45,TW,2021-12-22 19:10:44
212,Saint-Joseph,-21.3667,55.6167,24.21,82,72,3.1,RE,2021-12-22 19:13:59
213,Turukhansk,65.8167,87.9833,-15.06,93,100,8.23,RU,2021-12-22 19:13:59
214,College,64.8569,-147.8028,-23.33,68,78,1.33,US,2021-12-22 19:13:59
215,Cayenne,4.9333,-52.3333,25.05,91,75,0.45,GF,2021-12-22 19:14:00
216,Kruisfontein,-34.0033,24.7314,18.27,94,40,2.57,ZA,2021-12-22 19:14:00
217,Dingli,35.8614,14.3822,12.67,82,20,2.06,MT,2021-12-22 19:14:00
218,Hagere Hiywet,8.9833,37.85,14.92,65,89,3.55,ET,2021-12-22 19:14:01
219,Canon City,38.441,-105.2424,16.92,7,1,0.89,US,2021-12-22 19:14:01
220,Tuktoyaktuk,69.4541,-133.0374,-19.04,93,100,7.69,CA,2021-12-22 19:14:01
221,Buala,-8.145,159.5921,26.53,85,90,3.18,SB,2021-12-22 19:14:01
222,Nanlong,31.3533,106.0631,9.95,66,100,0.99,CN,2021-12-22 19:14:02
223,Seoul,37.5683,126.9778,-1.31,38,0,1.06,KR,2021-12-22 19:14:02
224,Abeche,13.8292,20.8324,24.3,20,4,3.74,TD,2021-12-22 19:14:03
225,Kununurra,-15.7667,128.7333,25.99,94,40,0.0,AU,2021-12-22 19:14:03
226,Garissa,-0.4536,39.6401,24.3,87,90,6.22,KE,2021-12-22 19:14:03
227,Bima,-8.4667,118.7167,25.61,91,100,1.44,ID,2021-12-22 19:14:04
228,Surt,31.2089,16.5887,15.53,47,100,1.84,LY,2021-12-22 19:15:04
229,Arroio Grande,-32.2375,-53.0869,26.22,45,5,6.06,BR,2021-12-22 19:13:40
230,Manresa,41.725,1.8266,11.97,91,4,1.79,ES,2021-12-22 19:15:04
231,Amahai,-3.3333,128.9167,24.86,87,100,2.31,ID,2021-12-22 19:15:05
232,Ilheus,-14.7889,-39.0494,26.9,89,40,5.66,BR,2021-12-22 19:15:05
233,Sorong,-0.8833,131.25,26.66,80,100,5.56,ID,2021-12-22 19:15:05
234,Gasa,31.5,34.4667,14.38,70,100,4.39,PS,2021-12-22 19:11:43
235,Kolpny,52.2282,37.0368,-13.4,92,99,3.77,RU,2021-12-22 19:15:06
236,Tapikan,6.8519,124.3225,20.3,96,100,0.66,PH,2021-12-22 19:15:06
237,Plettenberg Bay,-34.0527,23.3716,18.67,91,100,3.35,ZA,2021-12-22 19:15:07
238,Eenhana,-17.4667,16.3333,25.52,39,100,1.9,NA,2021-12-22 19:12:47
239,Longyan,25.1072,117.0225,13.18,94,98,0.66,CN,2021-12-22 19:15:07
240,Sibu,2.3,111.8167,24.17,94,40,1.03,MY,2021-12-22 19:15:07
241,Esperance,-33.8667,121.9,15.4,90,71,3.52,AU,2021-12-22 19:15:08
242,Carnarvon,-24.8667,113.6333,21.41,83,2,9.9,AU,2021-12-22 19:11:06
243,Yar-Sale,66.8333,70.8333,-7.78,95,100,5.31,RU,2021-12-22 19:15:08
244,Egvekinot,66.3167,-179.1667,-22.07,88,100,6.18,RU,2021-12-22 19:15:09
245,Paamiut,61.994,-49.6678,0.6,90,100,3.4,GL,2021-12-22 19:15:09
246,Beyneu,45.3167,55.2,0.91,61,100,4.28,KZ,2021-12-22 19:15:10
247,Lichinga,-13.3128,35.2406,22.05,78,0,3.09,MZ,2021-12-22 19:15:10
